"Symbol","EndDate","TotalRevenue","ROEC"
"000025","2006-12-31","1133692161.0700","-0.3768"
"000025","2007-12-31","991036624.7400","0.0336"
"000025","2008-12-31","637896590.0300","0.0094"
"000025","2009-12-31","432676350.2000","0.0425"
"000025","2010-12-31","386348379.2700","0.0199"
"000025","2011-12-31","403282098.8000","0.0062"
"000025","2012-12-31","419642661.3100","0.0048"
"000025","2013-12-31","486729308.1800","0.0149"
"000025","2014-12-31","464987527.8000","0.0422"
"000025","2015-12-31","303726790.5700","0.0791"
"000025","2016-12-31","324240841.9000","0.0309"
"000025","2017-12-31","347237289.8000","0.0690"
"000025","2018-12-31","414238778.9600","0.0821"
"000025","2019-12-31","571072893.9000","0.1795"
"000025","2020-12-31","424419203.3400","0.0443"
"000025","2021-12-31","508520026.1800","0.0929"
"000025","2022-12-31","837656274.5100","0.0522"
"000026","2000-12-31","253028149.2300","0.0253"
"000026","2001-12-31","219813846.0000","0.0177"
"000026","2002-12-31","206241298.0000","-0.1400"
"000026","2003-12-31","228133082.0000","0.0082"
"000026","2004-12-31","278246963.0000","0.0038"
"000026","2005-12-31","341504786.9100","0.0298"
"000026","2006-12-31","487241213.3200","0.0528"
"000026","2007-12-31","805273114.0900","0.1012"
"000026","2008-12-31","1086405568.2800","0.0978"
"000026","2009-12-31","1237397878.6200","0.1000"
"000026","2010-12-31","1780754430.9500","0.0930"
"000026","2011-12-31","2561054602.4000","0.1188"
"000026","2012-12-31","3023962527.2500","0.0814"
"000026","2013-12-31","3103496962.2200","0.0871"
"000026","2014-12-31","3278142785.8700","0.0920"
"000026","2015-12-31","3162196212.9000","0.0620"
"000026","2016-12-31","2993864561.4300","0.0472"
"000026","2017-12-31","3345809703.9800","0.0589"
"000026","2018-12-31","3400450599.9000","0.0730"
"000026","2019-12-31","3704210734.9000","0.0827"
"000026","2020-12-31","4243439952.5900","0.1078"
"000026","2021-12-31","5243733540.9300","0.1334"
"000026","2022-12-31","4354096880.3600","0.0867"
"000027","2000-12-31","2308022916.1400","0.1760"
"000027","2001-12-31","3347807762.8900","0.1730"
"000027","2002-12-31","3828587948.5300","0.1906"
"000027","2003-12-31","4804631978.4900","0.2280"
"000027","2004-12-31","5842780469.8200","0.1905"
"000027","2005-12-31","6908406711.4200","0.1860"
"000027","2006-12-31","6945045163.2000","0.1869"
"000027","2007-12-31","10356640599.2500","0.1770"
"000027","2008-12-31","10642914621.3900","0.0848"
"000027","2009-12-31","11388673057.7700","0.1579"
"000027","2010-12-31","12464711089.6500","0.1007"
"000027","2011-12-31","14387018543.1500","0.0710"
"000027","2012-12-31","12828482289.7900","0.0659"
"000027","2013-12-31","12350782449.0000","0.0955"
"000027","2014-12-31","12506042318.0500","0.1192"
"000027","2015-12-31","11129982964.7400","0.0910"
"000027","2016-12-31","11318112180.4000","0.0566"
"000027","2017-12-31","15545854866.0500","0.0341"
"000027","2018-12-31","18527395542.0000","0.0274"
"000027","2019-12-31","20817004465.5400","0.0599"
"000027","2020-12-31","20454506141.8900","0.1131"
"000027","2021-12-31","31569554551.2300","0.0461"
"000027","2022-12-31","37524716709.5600","0.0476"
"000028","2000-12-31","107898952.2400","-0.0083"
"000028","2001-12-31","1668674966.4000","0.0900"
"000028","2002-12-31","1869937562.7200","0.0122"
"000028","2003-12-31","1780873731.8200","0.0446"
"000028","2004-12-31","1576085283.6900","0.0758"
"000028","2005-12-31","1635568517.1000","0.0951"
"000028","2006-12-31","5667611804.6800","0.1795"
"000028","2007-12-31","6878305483.3200","0.2801"
"000028","2008-12-31","8360350198.1800","0.2784"
"000028","2009-12-31","10949936871.5800","0.2596"
"000028","2010-12-31","13064428148.6900","0.2630"
"000028","2011-12-31","15130338571.6400","0.2563"
"000028","2012-12-31","18011759178.2600","0.2962"
"000028","2013-12-31","21199466399.2100","0.2571"
"000028","2014-12-31","23954331028.0500","0.1869"
"000028","2015-12-31","25993139277.8400","0.1512"
"000028","2016-12-31","41248429322.9100","0.1771"
"000028","2017-12-31","41263629118.8500","0.1228"
"000028","2018-12-31","43122385521.2300","0.1132"
