"Markettype","Trddt","Dretmdeq"
"2","2016-06-30","0.000135"
"1","2016-06-30","-0.000918"
"16","2016-06-30","-0.000709"
"4","2016-06-30","0.001296"
"8","2016-07-01","0.004523"
"2","2016-07-01","-0.000107"
"16","2016-07-01","-0.004509"
"1","2016-07-01","0.000086"
"4","2016-07-01","0.000025"
"8","2016-07-04","0.009704"
"2","2016-07-04","0.014652"
"16","2016-07-04","0.021112"
"1","2016-07-04","0.022721"
"4","2016-07-04","0.019366"
"8","2016-07-05","-0.000782"
"2","2016-07-05","0.001380"
"16","2016-07-05","0.005679"
"1","2016-07-05","0.009576"
"4","2016-07-05","0.006409"
"8","2016-07-06","-0.000957"
"2","2016-07-06","0.002570"
"16","2016-07-06","0.001483"
"1","2016-07-06","0.008418"
"4","2016-07-06","0.006337"
"8","2016-07-07","-0.002056"
"2","2016-07-07","-0.004832"
"16","2016-07-07","0.000770"
"1","2016-07-07","0.002856"
"4","2016-07-07","0.002299"
"8","2016-07-08","0.000735"
"2","2016-07-08","-0.003268"
"16","2016-07-08","0.003436"
"1","2016-07-08","-0.003644"
"4","2016-07-08","-0.001914"
"8","2016-07-11","-0.003512"
"2","2016-07-11","-0.000549"
"16","2016-07-11","-0.019466"
"1","2016-07-11","-0.001077"
"4","2016-07-11","-0.003608"
"8","2016-07-12","0.004244"
"2","2016-07-12","0.007605"
"16","2016-07-12","0.010542"
"1","2016-07-12","0.015306"
"4","2016-07-12","0.011263"
"8","2016-07-13","0.007459"
"2","2016-07-13","0.002602"
"16","2016-07-13","0.011794"
"1","2016-07-13","0.005943"
"4","2016-07-13","0.008610"
"8","2016-07-14","-0.000274"
"2","2016-07-14","-0.002236"
"16","2016-07-14","0.005043"
"1","2016-07-14","0.001169"
"4","2016-07-14","0.003059"
"8","2016-07-15","0.003353"
"2","2016-07-15","0.000943"
"16","2016-07-15","-0.009164"
"1","2016-07-15","-0.001369"
"4","2016-07-15","-0.002722"
"8","2016-07-18","-0.000202"
"2","2016-07-18","-0.004167"
"16","2016-07-18","-0.005740"
"1","2016-07-18","-0.005308"
"4","2016-07-18","-0.004349"
"8","2016-07-19","0.006557"
"2","2016-07-19","0.001713"
"16","2016-07-19","0.013907"
"1","2016-07-19","0.003329"
"4","2016-07-19","0.004779"
"8","2016-07-20","0.003778"
"2","2016-07-20","0.000022"
"16","2016-07-20","0.003121"
"1","2016-07-20","0.000235"
"4","2016-07-20","0.001866"
"8","2016-07-21","0.006839"
"2","2016-07-21","0.005866"
"16","2016-07-21","-0.003489"
"1","2016-07-21","0.003939"
"4","2016-07-21","0.001449"
"8","2016-07-22","-0.004829"
"2","2016-07-22","-0.005105"
"16","2016-07-22","-0.010868"
"1","2016-07-22","-0.009527"
"4","2016-07-22","-0.009833"
"8","2016-07-25","0.001376"
"2","2016-07-25","0.000276"
"16","2016-07-25","-0.001404"
"1","2016-07-25","0.002578"
"4","2016-07-25","0.002509"
"8","2016-07-26","0.004198"
"2","2016-07-26","0.006865"
"16","2016-07-26","0.015344"
"1","2016-07-26","0.013806"
"4","2016-07-26","0.014325"
"8","2016-07-27","-0.022236"
"2","2016-07-27","-0.016939"
"16","2016-07-27","-0.064037"
"1","2016-07-27","-0.038854"
"4","2016-07-27","-0.049325"
"8","2016-07-28","0.003936"
"2","2016-07-28","-0.000211"
"16","2016-07-28","-0.005723"
"1","2016-07-28","0.002806"
"4","2016-07-28","-0.001635"
"8","2016-07-29","0.002123"
"2","2016-07-29","-0.010409"
"16","2016-07-29","-0.007520"
"1","2016-07-29","-0.007254"
"4","2016-07-29","-0.005907"
"8","2016-08-01","-0.010771"
"2","2016-08-01","-0.013319"
"16","2016-08-01","-0.014280"
"1","2016-08-01","-0.016500"
"4","2016-08-01","-0.018419"
"8","2016-08-02","0.006691"
"2","2016-08-02","0.004525"
"16","2016-08-02","0.012785"
"1","2016-08-02","0.012670"
"4","2016-08-02","0.009417"
"8","2016-08-03","0.009355"
"2","2016-08-03","0.006038"
"16","2016-08-03","0.003509"
"1","2016-08-03","0.008330"
"4","2016-08-03","0.006766"
"8","2016-08-04","0.001510"
"2","2016-08-04","0.003659"
"16","2016-08-04","0.011351"
"1","2016-08-04","0.004668"
"4","2016-08-04","0.007319"
"8","2016-08-05","0.001324"
"2","2016-08-05","-0.000098"
"16","2016-08-05","-0.008024"
"1","2016-08-05","-0.003774"
"4","2016-08-05","-0.004629"
"8","2016-08-08","0.006181"
"2","2016-08-08","0.005401"
"16","2016-08-08","0.012094"
"1","2016-08-08","0.013643"
"4","2016-08-08","0.012094"
"8","2016-08-09","0.005539"
"2","2016-08-09","0.004782"
"16","2016-08-09","0.020122"
"1","2016-08-09","0.009704"
"4","2016-08-09","0.010954"
"8","2016-08-10","-0.001924"
"2","2016-08-10","-0.003457"
"16","2016-08-10","-0.000850"
"1","2016-08-10","-0.001765"
"4","2016-08-10","-0.001963"
"8","2016-08-11","-0.003760"
"2","2016-08-11","-0.006724"
"16","2016-08-11","-0.018685"
"1","2016-08-11","-0.014303"
"4","2016-08-11","-0.015005"
"8","2016-08-12","0.002995"
"2","2016-08-12","0.006584"
"16","2016-08-12","0.012165"
"1","2016-08-12","0.014048"
"4","2016-08-12","0.011738"
"8","2016-08-15","0.010987"
"2","2016-08-15","0.018039"
"16","2016-08-15","0.030724"
"1","2016-08-15","0.024087"
"4","2016-08-15","0.022735"
"8","2016-08-16","0.006211"
"2","2016-08-16","0.001665"
"16","2016-08-16","0.010134"
"1","2016-08-16","0.006176"
"4","2016-08-16","0.009039"
"8","2016-08-17","0.004013"
"2","2016-08-17","0.000088"
"16","2016-08-17","0.007462"
"1","2016-08-17","0.004838"
"4","2016-08-17","0.005205"
"8","2016-08-18","0.002211"
"2","2016-08-18","0.002304"
"16","2016-08-18","0.002935"
"1","2016-08-18","0.001723"
"4","2016-08-18","0.001458"
"8","2016-08-19","-0.003390"
"2","2016-08-19","-0.000586"
"16","2016-08-19","0.006222"
"1","2016-08-19","0.001910"
"4","2016-08-19","0.002512"
"8","2016-08-22","-0.005052"
"2","2016-08-22","-0.004351"
"16","2016-08-22","-0.017807"
"1","2016-08-22","-0.009338"
"4","2016-08-22","-0.011135"
"8","2016-08-23","0.002939"
"2","2016-08-23","-0.002091"
"16","2016-08-23","0.009544"
"1","2016-08-23","0.003298"
"4","2016-08-23","0.002878"
"8","2016-08-24","0.003330"
"2","2016-08-24","0.000281"
"16","2016-08-24","0.011776"
"1","2016-08-24","0.001724"
"4","2016-08-24","0.003150"
"8","2016-08-25","-0.005527"
"2","2016-08-25","-0.002108"
"16","2016-08-25","-0.001030"
"1","2016-08-25","-0.006727"
"4","2016-08-25","-0.006370"
"8","2016-08-26","0.002910"
"2","2016-08-26","0.002643"
"16","2016-08-26","0.006730"
"1","2016-08-26","0.005190"
"4","2016-08-26","0.004298"
"8","2016-08-29","0.000749"
"2","2016-08-29","0.001523"
"16","2016-08-29","0.004444"
"1","2016-08-29","0.003620"
"4","2016-08-29","0.003383"
"8","2016-08-30","0.000285"
"2","2016-08-30","-0.000481"
"16","2016-08-30","0.003875"
"1","2016-08-30","0.000264"
"4","2016-08-30","0.001277"
"8","2016-08-31","0.000730"
"2","2016-08-31","0.000976"
"16","2016-08-31","0.003344"
"1","2016-08-31","0.003525"
"4","2016-08-31","0.001639"
"8","2016-09-01","-0.002937"
"2","2016-09-01","-0.004412"
"16","2016-09-01","-0.004659"
"1","2016-09-01","-0.007039"
"4","2016-09-01","-0.007078"
"8","2016-09-02","0.000191"
"2","2016-09-02","-0.000599"
"16","2016-09-02","-0.004695"
"1","2016-09-02","-0.001012"
"4","2016-09-02","-0.003365"
"8","2016-09-05","0.004044"
"2","2016-09-05","0.000052"
"16","2016-09-05","0.003584"
"1","2016-09-05","0.005914"
"4","2016-09-05","0.006363"
"8","2016-09-06","0.008631"
"2","2016-09-06","0.007332"
"16","2016-09-06","0.024215"
"1","2016-09-06","0.013243"
"4","2016-09-06","0.015938"
"8","2016-09-07","0.003834"
"2","2016-09-07","0.000930"
"16","2016-09-07","-0.002601"
"1","2016-09-07","0.001580"
"4","2016-09-07","0.001177"
"8","2016-09-08","-0.000056"
